Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
88,42,gf,0.295,mm,OK,--,8:56:25 AM,1/10/2026
89,42.2,gf,0.295,mm,OK,--,8:56:25 AM,1/10/2026
90,42.5,gf,0.3,mm,OK,--,8:56:25 AM,1/10/2026
91,42.8,gf,0.3,mm,OK,--,8:56:25 AM,1/10/2026
92,42.9,gf,0.305,mm,OK,--,8:56:26 AM,1/10/2026
93,43.4,gf,0.305,mm,OK,--,8:56:26 AM,1/10/2026
94,43.8,gf,0.31,mm,OK,--,8:56:26 AM,1/10/2026
95,44.2,gf,0.31,mm,OK,--,8:56:26 AM,1/10/2026
96,44.6,gf,0.31,mm,OK,--,8:56:26 AM,1/10/2026
97,44.9,gf,0.315,mm,OK,--,8:56:26 AM,1/10/2026
98,45.1,gf,0.315,mm,OK,--,8:56:26 AM,1/10/2026
99,45.3,gf,0.32,mm,OK,--,8:56:26 AM,1/10/2026
100,45.4,gf,0.325,mm,OK,--,8:56:26 AM,1/10/2026
101,45.3,gf,0.325,mm,OK,--,8:56:26 AM,1/10/2026
102,44.8,gf,0.33,mm,OK,--,8:56:27 AM,1/10/2026
103,44.5,gf,0.335,mm,OK,--,8:56:27 AM,1/10/2026
104,44.3,gf,0.34,mm,OK,--,8:56:27 AM,1/10/2026
105,43.7,gf,0.34,mm,OK,--,8:56:27 AM,1/10/2026
106,43.5,gf,0.345,mm,OK,--,8:56:27 AM,1/10/2026
107,43.3,gf,0.35,mm,OK,--,8:56:27 AM,1/10/2026
108,43.2,gf,0.35,mm,OK,--,8:56:27 AM,1/10/2026
109,43,gf,0.355,mm,OK,--,8:56:27 AM,1/10/2026
110,43.1,gf,0.36,mm,OK,--,8:56:27 AM,1/10/2026
111,43.2,gf,0.36,mm,OK,--,8:56:27 AM,1/10/2026
112,43.4,gf,0.365,mm,OK,--,8:56:28 AM,1/10/2026
113,43.6,gf,0.365,mm,OK,--,8:56:28 AM,1/10/2026
114,43.8,gf,0.37,mm,OK,--,8:56:28 AM,1/10/2026
115,44,gf,0.375,mm,OK,--,8:56:28 AM,1/10/2026
116,43.9,gf,0.375,mm,OK,--,8:56:28 AM,1/10/2026
117,43.9,gf,0.38,mm,OK,--,8:56:28 AM,1/10/2026
118,44,gf,0.38,mm,OK,--,8:56:28 AM,1/10/2026
119,43.9,gf,0.385,mm,OK,--,8:56:28 AM,1/10/2026
120,43.8,gf,0.39,mm,OK,--,8:56:28 AM,1/10/2026
121,43.9,gf,0.39,mm,OK,--,8:56:28 AM,1/10/2026
122,43.8,gf,0.395,mm,OK,--,8:56:29 AM,1/10/2026
123,43.6,gf,0.4,mm,OK,--,8:56:29 AM,1/10/2026
124,43.4,gf,0.4,mm,OK,--,8:56:29 AM,1/10/2026
125,43.2,gf,0.405,mm,OK,--,8:56:29 AM,1/10/2026
126,43.1,gf,0.41,mm,OK,--,8:56:29 AM,1/10/2026
127,42.9,gf,0.415,mm,OK,--,8:56:29 AM,1/10/2026
128,42.8,gf,0.415,mm,OK,--,8:56:29 AM,1/10/2026
129,42.7,gf,0.42,mm,OK,--,8:56:29 AM,1/10/2026
130,42.6,gf,0.42,mm,OK,--,8:56:29 AM,1/10/2026
131,42.6,gf,0.425,mm,OK,--,8:56:29 AM,1/10/2026
132,42.5,gf,0.425,mm,OK,--,8:56:30 AM,1/10/2026
133,42.6,gf,0.43,mm,OK,--,8:56:30 AM,1/10/2026
134,42.6,gf,0.43,mm,OK,--,8:56:30 AM,1/10/2026
135,42.6,gf,0.435,mm,OK,--,8:56:30 AM,1/10/2026
136,42.3,gf,0.44,mm,OK,--,8:56:30 AM,1/10/2026
137,42.1,gf,0.44,mm,OK,--,8:56:30 AM,1/10/2026
138,42.1,gf,0.445,mm,OK,--,8:56:30 AM,1/10/2026
139,42,gf,0.445,mm,OK,--,8:56:30 AM,1/10/2026
140,42,gf,0.45,mm,OK,--,8:56:30 AM,1/10/2026
141,42,gf,0.455,mm,OK,--,8:56:30 AM,1/10/2026
142,41.9,gf,0.455,mm,OK,--,8:56:31 AM,1/10/2026
143,41.9,gf,0.46,mm,OK,--,8:56:31 AM,1/10/2026
144,41.9,gf,0.465,mm,OK,--,8:56:31 AM,1/10/2026
145,41.9,gf,0.47,mm,OK,--,8:56:31 AM,1/10/2026
146,42.1,gf,0.47,mm,OK,--,8:56:31 AM,1/10/2026
147,42.1,gf,0.475,mm,OK,--,8:56:31 AM,1/10/2026
148,41.9,gf,0.48,mm,OK,--,8:56:31 AM,1/10/2026
149,42,gf,0.48,mm,OK,--,8:56:31 AM,1/10/2026
150,42,gf,0.485,mm,OK,--,8:56:31 AM,1/10/2026
151,42,gf,0.49,mm,OK,--,8:56:31 AM,1/10/2026
152,42,gf,0.49,mm,OK,--,8:56:32 AM,1/10/2026
153,42,gf,0.495,mm,OK,--,8:56:32 AM,1/10/2026
154,42,gf,0.495,mm,OK,--,8:56:32 AM,1/10/2026
155,42,gf,0.5,mm,OK,--,8:56:32 AM,1/10/2026
156,42.2,gf,0.505,mm,OK,--,8:56:32 AM,1/10/2026
157,42.2,gf,0.505,mm,OK,--,8:56:32 AM,1/10/2026
158,42.3,gf,0.51,mm,OK,--,8:56:32 AM,1/10/2026
