Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
365,55.2,gf,1.17,mm,OK,--,8:56:53 AM,1/10/2026
366,55.2,gf,1.17,mm,OK,--,8:56:53 AM,1/10/2026
367,55.1,gf,1.175,mm,OK,--,8:56:53 AM,1/10/2026
368,54.9,gf,1.175,mm,OK,--,8:56:53 AM,1/10/2026
369,54.9,gf,1.18,mm,OK,--,8:56:53 AM,1/10/2026
370,55,gf,1.18,mm,OK,--,8:56:53 AM,1/10/2026
371,55.1,gf,1.185,mm,OK,--,8:56:53 AM,1/10/2026
372,55.1,gf,1.19,mm,OK,--,8:56:54 AM,1/10/2026
373,55.1,gf,1.19,mm,OK,--,8:56:54 AM,1/10/2026
374,55,gf,1.195,mm,OK,--,8:56:54 AM,1/10/2026
375,55.1,gf,1.195,mm,OK,--,8:56:54 AM,1/10/2026
376,55.2,gf,1.195,mm,OK,--,8:56:54 AM,1/10/2026
377,55.3,gf,1.2,mm,OK,--,8:56:54 AM,1/10/2026
378,55.2,gf,1.2,mm,OK,--,8:56:54 AM,1/10/2026
379,55.5,gf,1.205,mm,OK,--,8:56:54 AM,1/10/2026
380,55.6,gf,1.21,mm,OK,--,8:56:54 AM,1/10/2026
381,55.7,gf,1.21,mm,OK,--,8:56:54 AM,1/10/2026
382,55.8,gf,1.215,mm,OK,--,8:56:55 AM,1/10/2026
383,55.9,gf,1.215,mm,OK,--,8:56:55 AM,1/10/2026
384,56.1,gf,1.22,mm,OK,--,8:56:55 AM,1/10/2026
385,56,gf,1.22,mm,OK,--,8:56:55 AM,1/10/2026
386,56.2,gf,1.225,mm,OK,--,8:56:55 AM,1/10/2026
387,56.3,gf,1.225,mm,OK,--,8:56:55 AM,1/10/2026
388,56.3,gf,1.23,mm,OK,--,8:56:55 AM,1/10/2026
389,56.3,gf,1.23,mm,OK,--,8:56:55 AM,1/10/2026
390,56.3,gf,1.235,mm,OK,--,8:56:55 AM,1/10/2026
391,56.5,gf,1.235,mm,OK,--,8:56:55 AM,1/10/2026
392,56.1,gf,1.245,mm,OK,--,8:56:56 AM,1/10/2026
393,56.3,gf,1.25,mm,OK,--,8:56:56 AM,1/10/2026
394,55.7,gf,1.255,mm,OK,--,8:56:56 AM,1/10/2026
395,55.8,gf,1.26,mm,OK,--,8:56:56 AM,1/10/2026
396,55.6,gf,1.27,mm,OK,--,8:56:56 AM,1/10/2026
397,55.3,gf,1.275,mm,OK,--,8:56:56 AM,1/10/2026
398,55.4,gf,1.285,mm,OK,--,8:56:56 AM,1/10/2026
399,55.2,gf,1.29,mm,OK,--,8:56:56 AM,1/10/2026
400,55,gf,1.295,mm,OK,--,8:56:56 AM,1/10/2026
401,54.8,gf,1.305,mm,OK,--,8:56:56 AM,1/10/2026
402,54.5,gf,1.31,mm,OK,--,8:56:57 AM,1/10/2026
403,54.4,gf,1.32,mm,OK,--,8:56:57 AM,1/10/2026
404,54.5,gf,1.325,mm,OK,--,8:56:57 AM,1/10/2026
405,54.4,gf,1.33,mm,OK,--,8:56:57 AM,1/10/2026
406,54.3,gf,1.335,mm,OK,--,8:56:57 AM,1/10/2026
407,54.1,gf,1.335,mm,OK,--,8:56:57 AM,1/10/2026
408,54,gf,1.34,mm,OK,--,8:56:57 AM,1/10/2026
409,53.6,gf,1.345,mm,OK,--,8:56:57 AM,1/10/2026
410,53,gf,1.345,mm,OK,--,8:56:57 AM,1/10/2026
411,52.7,gf,1.35,mm,OK,--,8:56:57 AM,1/10/2026
412,52.5,gf,1.355,mm,OK,--,8:56:58 AM,1/10/2026
413,52.2,gf,1.355,mm,OK,--,8:56:58 AM,1/10/2026
414,52.2,gf,1.355,mm,OK,--,8:56:58 AM,1/10/2026
415,52.2,gf,1.355,mm,OK,--,8:56:58 AM,1/10/2026
416,52.1,gf,1.36,mm,OK,--,8:56:58 AM,1/10/2026
417,52.2,gf,1.365,mm,OK,--,8:56:58 AM,1/10/2026
418,52.1,gf,1.37,mm,OK,--,8:56:58 AM,1/10/2026
419,52.1,gf,1.375,mm,OK,--,8:56:58 AM,1/10/2026
420,51.9,gf,1.375,mm,OK,--,8:56:58 AM,1/10/2026
421,51.7,gf,1.38,mm,OK,--,8:56:58 AM,1/10/2026
422,51.7,gf,1.385,mm,OK,--,8:56:59 AM,1/10/2026
423,51.4,gf,1.39,mm,OK,--,8:56:59 AM,1/10/2026
424,51.2,gf,1.39,mm,OK,--,8:56:59 AM,1/10/2026
425,51.3,gf,1.395,mm,OK,--,8:56:59 AM,1/10/2026
426,51.2,gf,1.4,mm,OK,--,8:56:59 AM,1/10/2026
427,51.3,gf,1.405,mm,OK,--,8:56:59 AM,1/10/2026
428,51.2,gf,1.41,mm,OK,--,8:56:59 AM,1/10/2026
429,51.3,gf,1.415,mm,OK,--,8:56:59 AM,1/10/2026
430,51.4,gf,1.42,mm,OK,--,8:56:59 AM,1/10/2026
431,51.2,gf,1.425,mm,OK,--,8:56:59 AM,1/10/2026
432,50.9,gf,1.43,mm,OK,--,8:57:00 AM,1/10/2026
433,50.8,gf,1.435,mm,OK,--,8:57:00 AM,1/10/2026
434,50.6,gf,1.435,mm,OK,--,8:57:00 AM,1/10/2026
435,50.4,gf,1.44,mm,OK,--,8:57:00 AM,1/10/2026
436,50,gf,1.445,mm,OK,--,8:57:00 AM,1/10/2026
437,49.4,gf,1.445,mm,OK,--,8:57:00 AM,1/10/2026
438,49.2,gf,1.45,mm,OK,--,8:57:00 AM,1/10/2026
439,49.1,gf,1.455,mm,OK,--,8:57:00 AM,1/10/2026
440,48.9,gf,1.46,mm,OK,--,8:57:00 AM,1/10/2026
441,48.6,gf,1.465,mm,OK,--,8:57:00 AM,1/10/2026
442,48.3,gf,1.465,mm,OK,--,8:57:01 AM,1/10/2026
443,48.2,gf,1.47,mm,OK,--,8:57:01 AM,1/10/2026
444,48.2,gf,1.475,mm,OK,--,8:57:01 AM,1/10/2026
445,48,gf,1.48,mm,OK,--,8:57:01 AM,1/10/2026
446,47.6,gf,1.485,mm,OK,--,8:57:01 AM,1/10/2026
447,47.2,gf,1.49,mm,OK,--,8:57:01 AM,1/10/2026
448,46.7,gf,1.49,mm,OK,--,8:57:01 AM,1/10/2026
449,46.6,gf,1.495,mm,OK,--,8:57:01 AM,1/10/2026
450,46.5,gf,1.5,mm,OK,--,8:57:01 AM,1/10/2026
451,46.3,gf,1.5,mm,OK,--,8:57:01 AM,1/10/2026
452,46.1,gf,1.505,mm,OK,--,8:57:02 AM,1/10/2026
453,46,gf,1.505,mm,OK,--,8:57:02 AM,1/10/2026
454,46.2,gf,1.51,mm,OK,--,8:57:02 AM,1/10/2026
455,46.4,gf,1.51,mm,OK,--,8:57:02 AM,1/10/2026
456,46.4,gf,1.515,mm,OK,--,8:57:02 AM,1/10/2026
457,46.6,gf,1.515,mm,OK,--,8:57:02 AM,1/10/2026
458,46.7,gf,1.515,mm,OK,--,8:57:02 AM,1/10/2026
459,46.8,gf,1.52,mm,OK,--,8:57:02 AM,1/10/2026
460,46.8,gf,1.52,mm,OK,--,8:57:02 AM,1/10/2026
461,47,gf,1.52,mm,OK,--,8:57:02 AM,1/10/2026
462,47.2,gf,1.525,mm,OK,--,8:57:03 AM,1/10/2026
463,47.1,gf,1.525,mm,OK,--,8:57:03 AM,1/10/2026
464,47,gf,1.525,mm,OK,--,8:57:03 AM,1/10/2026
465,46.9,gf,1.53,mm,OK,--,8:57:03 AM,1/10/2026
466,47,gf,1.53,mm,OK,--,8:57:03 AM,1/10/2026
467,47,gf,1.535,mm,OK,--,8:57:03 AM,1/10/2026
468,47.1,gf,1.54,mm,OK,--,8:57:03 AM,1/10/2026
469,47.1,gf,1.54,mm,OK,--,8:57:03 AM,1/10/2026
470,47.1,gf,1.545,mm,OK,--,8:57:03 AM,1/10/2026
471,47.1,gf,1.545,mm,OK,--,8:57:03 AM,1/10/2026
472,47.1,gf,1.55,mm,OK,--,8:57:04 AM,1/10/2026
473,47.2,gf,1.555,mm,OK,--,8:57:04 AM,1/10/2026
474,47.3,gf,1.555,mm,OK,--,8:57:04 AM,1/10/2026
475,47.2,gf,1.56,mm,OK,--,8:57:04 AM,1/10/2026
476,47.3,gf,1.56,mm,OK,--,8:57:04 AM,1/10/2026
477,47.3,gf,1.56,mm,OK,--,8:57:04 AM,1/10/2026
478,47.3,gf,1.565,mm,OK,--,8:57:04 AM,1/10/2026
479,47.3,gf,1.565,mm,OK,--,8:57:04 AM,1/10/2026
480,47.2,gf,1.57,mm,OK,--,8:57:04 AM,1/10/2026
481,47.1,gf,1.57,mm,OK,--,8:57:04 AM,1/10/2026
482,47.1,gf,1.575,mm,OK,--,8:57:05 AM,1/10/2026
483,47,gf,1.575,mm,OK,--,8:57:05 AM,1/10/2026
484,47,gf,1.58,mm,OK,--,8:57:05 AM,1/10/2026
485,47,gf,1.58,mm,OK,--,8:57:05 AM,1/10/2026
486,46.8,gf,1.585,mm,OK,--,8:57:05 AM,1/10/2026
487,46.7,gf,1.59,mm,OK,--,8:57:05 AM,1/10/2026
488,46.8,gf,1.59,mm,OK,--,8:57:05 AM,1/10/2026
489,46.8,gf,1.595,mm,OK,--,8:57:05 AM,1/10/2026
490,46.8,gf,1.595,mm,OK,--,8:57:05 AM,1/10/2026
491,46.8,gf,1.595,mm,OK,--,8:57:05 AM,1/10/2026
492,46.9,gf,1.6,mm,OK,--,8:57:06 AM,1/10/2026
493,46.8,gf,1.6,mm,OK,--,8:57:06 AM,1/10/2026
494,46.7,gf,1.605,mm,OK,--,8:57:06 AM,1/10/2026
495,46.6,gf,1.605,mm,OK,--,8:57:06 AM,1/10/2026
496,46.7,gf,1.61,mm,OK,--,8:57:06 AM,1/10/2026
497,46.5,gf,1.61,mm,OK,--,8:57:06 AM,1/10/2026
498,46.2,gf,1.615,mm,OK,--,8:57:06 AM,1/10/2026
499,46.1,gf,1.615,mm,OK,--,8:57:06 AM,1/10/2026
500,46.3,gf,1.62,mm,OK,--,8:57:06 AM,1/10/2026
501,46.1,gf,1.625,mm,OK,--,8:57:06 AM,1/10/2026
502,46,gf,1.63,mm,OK,--,8:57:07 AM,1/10/2026
503,46,gf,1.635,mm,OK,--,8:57:07 AM,1/10/2026
504,46.1,gf,1.64,mm,OK,--,8:57:07 AM,1/10/2026
505,45.8,gf,1.65,mm,OK,--,8:57:07 AM,1/10/2026
506,45.8,gf,1.655,mm,OK,--,8:57:07 AM,1/10/2026
507,45.6,gf,1.66,mm,OK,--,8:57:07 AM,1/10/2026
508,45.3,gf,1.665,mm,OK,--,8:57:07 AM,1/10/2026
509,45,gf,1.675,mm,OK,--,8:57:07 AM,1/10/2026
510,45.2,gf,1.68,mm,OK,--,8:57:07 AM,1/10/2026
511,45,gf,1.685,mm,OK,--,8:57:07 AM,1/10/2026
512,45,gf,1.685,mm,OK,--,8:57:08 AM,1/10/2026
513,44.9,gf,1.69,mm,OK,--,8:57:08 AM,1/10/2026
514,45,gf,1.69,mm,OK,--,8:57:08 AM,1/10/2026
515,44.8,gf,1.69,mm,OK,--,8:57:08 AM,1/10/2026
516,44.8,gf,1.695,mm,OK,--,8:57:08 AM,1/10/2026
517,44.8,gf,1.7,mm,OK,--,8:57:08 AM,1/10/2026
518,44.5,gf,1.7,mm,OK,--,8:57:08 AM,1/10/2026
519,44.5,gf,1.705,mm,OK,--,8:57:08 AM,1/10/2026
520,44.1,gf,1.71,mm,OK,--,8:57:08 AM,1/10/2026
521,44.3,gf,1.72,mm,OK,--,8:57:08 AM,1/10/2026
522,44.2,gf,1.725,mm,OK,--,8:57:09 AM,1/10/2026
523,43.9,gf,1.73,mm,OK,--,8:57:09 AM,1/10/2026
524,43.7,gf,1.73,mm,OK,--,8:57:09 AM,1/10/2026
525,43.7,gf,1.735,mm,OK,--,8:57:09 AM,1/10/2026
526,43.8,gf,1.735,mm,OK,--,8:57:09 AM,1/10/2026
527,43.8,gf,1.735,mm,OK,--,8:57:09 AM,1/10/2026
528,43.5,gf,1.735,mm,OK,--,8:57:09 AM,1/10/2026
529,43.6,gf,1.74,mm,OK,--,8:57:09 AM,1/10/2026
530,43.7,gf,1.74,mm,OK,--,8:57:09 AM,1/10/2026
531,43.5,gf,1.74,mm,OK,--,8:57:09 AM,1/10/2026
532,43.8,gf,1.74,mm,OK,--,8:57:10 AM,1/10/2026
533,43.6,gf,1.74,mm,OK,--,8:57:10 AM,1/10/2026
534,43.6,gf,1.745,mm,OK,--,8:57:10 AM,1/10/2026
535,43.7,gf,1.745,mm,OK,--,8:57:10 AM,1/10/2026
536,43,gf,1.75,mm,OK,--,8:57:10 AM,1/10/2026
537,43.1,gf,1.755,mm,OK,--,8:57:10 AM,1/10/2026
538,43,gf,1.755,mm,OK,--,8:57:10 AM,1/10/2026
539,43,gf,1.76,mm,OK,--,8:57:10 AM,1/10/2026
540,43,gf,1.77,mm,OK,--,8:57:10 AM,1/10/2026
541,42.7,gf,1.775,mm,OK,--,8:57:10 AM,1/10/2026
542,42.9,gf,1.785,mm,OK,--,8:57:11 AM,1/10/2026
543,42.7,gf,1.79,mm,OK,--,8:57:11 AM,1/10/2026
544,42.6,gf,1.795,mm,OK,--,8:57:11 AM,1/10/2026
545,42.4,gf,1.8,mm,OK,--,8:57:11 AM,1/10/2026
546,42.5,gf,1.8,mm,OK,--,8:57:11 AM,1/10/2026
547,42.7,gf,1.805,mm,OK,--,8:57:11 AM,1/10/2026
548,43,gf,1.81,mm,OK,--,8:57:11 AM,1/10/2026
549,43.3,gf,1.815,mm,OK,--,8:57:11 AM,1/10/2026
550,42.7,gf,1.82,mm,OK,--,8:57:11 AM,1/10/2026
551,42,gf,1.83,mm,OK,--,8:57:11 AM,1/10/2026
552,41.8,gf,1.835,mm,OK,--,8:57:12 AM,1/10/2026
553,41.7,gf,1.84,mm,OK,--,8:57:12 AM,1/10/2026
554,41.6,gf,1.85,mm,OK,--,8:57:12 AM,1/10/2026
555,41.3,gf,1.86,mm,OK,--,8:57:12 AM,1/10/2026
556,41.5,gf,1.865,mm,OK,--,8:57:12 AM,1/10/2026
557,41.6,gf,1.875,mm,OK,--,8:57:12 AM,1/10/2026
558,41.6,gf,1.885,mm,OK,--,8:57:12 AM,1/10/2026
559,41.6,gf,1.895,mm,OK,--,8:57:12 AM,1/10/2026
560,42,gf,1.9,mm,OK,--,8:57:12 AM,1/10/2026
561,42.4,gf,1.905,mm,OK,--,8:57:12 AM,1/10/2026
562,43,gf,1.915,mm,OK,--,8:57:13 AM,1/10/2026
563,43.1,gf,1.925,mm,OK,--,8:57:13 AM,1/10/2026
564,44.2,gf,1.935,mm,OK,--,8:57:13 AM,1/10/2026
565,44.4,gf,1.945,mm,OK,--,8:57:13 AM,1/10/2026
566,43.6,gf,1.955,mm,OK,--,8:57:13 AM,1/10/2026
567,43.5,gf,1.97,mm,OK,--,8:57:13 AM,1/10/2026
568,44,gf,1.98,mm,OK,--,8:57:13 AM,1/10/2026
569,44.3,gf,1.99,mm,OK,--,8:57:13 AM,1/10/2026
570,44.3,gf,1.995,mm,OK,--,8:57:13 AM,1/10/2026
571,43.8,gf,2.005,mm,OK,--,8:57:13 AM,1/10/2026
572,44,gf,2.01,mm,OK,--,8:57:14 AM,1/10/2026
573,44.1,gf,2.01,mm,OK,--,8:57:14 AM,1/10/2026
574,44,gf,2.015,mm,OK,--,8:57:14 AM,1/10/2026
575,44.2,gf,2.02,mm,OK,--,8:57:14 AM,1/10/2026
576,44.3,gf,2.025,mm,OK,--,8:57:14 AM,1/10/2026
577,44.4,gf,2.025,mm,OK,--,8:57:14 AM,1/10/2026
578,44.5,gf,2.03,mm,OK,--,8:57:14 AM,1/10/2026
579,44.5,gf,2.035,mm,OK,--,8:57:14 AM,1/10/2026
580,44.4,gf,2.04,mm,OK,--,8:57:14 AM,1/10/2026
581,44.5,gf,2.04,mm,OK,--,8:57:14 AM,1/10/2026
582,44.6,gf,2.045,mm,OK,--,8:57:15 AM,1/10/2026
583,44.8,gf,2.05,mm,OK,--,8:57:15 AM,1/10/2026
584,44.5,gf,2.055,mm,OK,--,8:57:15 AM,1/10/2026
585,44.5,gf,2.055,mm,OK,--,8:57:15 AM,1/10/2026
586,44.9,gf,2.06,mm,OK,--,8:57:15 AM,1/10/2026
587,44.9,gf,2.06,mm,OK,--,8:57:15 AM,1/10/2026
588,44.9,gf,2.065,mm,OK,--,8:57:15 AM,1/10/2026
589,44.9,gf,2.07,mm,OK,--,8:57:15 AM,1/10/2026
590,44.9,gf,2.07,mm,OK,--,8:57:15 AM,1/10/2026
591,44.9,gf,2.075,mm,OK,--,8:57:15 AM,1/10/2026
592,45,gf,2.08,mm,OK,--,8:57:16 AM,1/10/2026
593,45.1,gf,2.08,mm,OK,--,8:57:16 AM,1/10/2026
594,45.3,gf,2.085,mm,OK,--,8:57:16 AM,1/10/2026
595,45.5,gf,2.085,mm,OK,--,8:57:16 AM,1/10/2026
596,45.3,gf,2.09,mm,OK,--,8:57:16 AM,1/10/2026
597,45.1,gf,2.09,mm,OK,--,8:57:16 AM,1/10/2026
598,45,gf,2.09,mm,OK,--,8:57:16 AM,1/10/2026
599,45.1,gf,2.095,mm,OK,--,8:57:16 AM,1/10/2026
600,45.1,gf,2.095,mm,OK,--,8:57:16 AM,1/10/2026
601,45,gf,2.095,mm,OK,--,8:57:16 AM,1/10/2026
602,45.1,gf,2.1,mm,OK,--,8:57:17 AM,1/10/2026
603,45.2,gf,2.1,mm,OK,--,8:57:17 AM,1/10/2026
604,45.3,gf,2.105,mm,OK,--,8:57:17 AM,1/10/2026
605,45.3,gf,2.105,mm,OK,--,8:57:17 AM,1/10/2026
606,45.3,gf,2.11,mm,OK,--,8:57:17 AM,1/10/2026
607,45.2,gf,2.11,mm,OK,--,8:57:17 AM,1/10/2026
608,45,gf,2.115,mm,OK,--,8:57:17 AM,1/10/2026
609,45,gf,2.115,mm,OK,--,8:57:17 AM,1/10/2026
610,45,gf,2.12,mm,OK,--,8:57:17 AM,1/10/2026
611,44.8,gf,2.12,mm,OK,--,8:57:17 AM,1/10/2026
612,44.8,gf,2.125,mm,OK,--,8:57:18 AM,1/10/2026
613,44.9,gf,2.125,mm,OK,--,8:57:18 AM,1/10/2026
614,45.1,gf,2.13,mm,OK,--,8:57:18 AM,1/10/2026
615,45,gf,2.135,mm,OK,--,8:57:18 AM,1/10/2026
616,44.9,gf,2.135,mm,OK,--,8:57:18 AM,1/10/2026
617,45.1,gf,2.14,mm,OK,--,8:57:18 AM,1/10/2026
618,44.8,gf,2.145,mm,OK,--,8:57:18 AM,1/10/2026
619,45.1,gf,2.15,mm,OK,--,8:57:18 AM,1/10/2026
620,45.3,gf,2.15,mm,OK,--,8:57:18 AM,1/10/2026
621,45.5,gf,2.155,mm,OK,--,8:57:18 AM,1/10/2026
622,45.6,gf,2.16,mm,OK,--,8:57:19 AM,1/10/2026
623,45.7,gf,2.165,mm,OK,--,8:57:19 AM,1/10/2026
624,45.9,gf,2.17,mm,OK,--,8:57:19 AM,1/10/2026
625,46.3,gf,2.18,mm,OK,--,8:57:19 AM,1/10/2026
626,46.7,gf,2.185,mm,OK,--,8:57:19 AM,1/10/2026
627,47,gf,2.19,mm,OK,--,8:57:19 AM,1/10/2026
628,47.4,gf,2.195,mm,OK,--,8:57:19 AM,1/10/2026
629,47.2,gf,2.2,mm,OK,--,8:57:19 AM,1/10/2026
630,47.4,gf,2.21,mm,OK,--,8:57:19 AM,1/10/2026
631,47.5,gf,2.215,mm,OK,--,8:57:19 AM,1/10/2026
632,47.2,gf,2.22,mm,OK,--,8:57:20 AM,1/10/2026
633,47.5,gf,2.225,mm,OK,--,8:57:20 AM,1/10/2026
634,47.8,gf,2.23,mm,OK,--,8:57:20 AM,1/10/2026
635,47.9,gf,2.235,mm,OK,--,8:57:20 AM,1/10/2026
636,48.2,gf,2.24,mm,OK,--,8:57:20 AM,1/10/2026
637,48.4,gf,2.245,mm,OK,--,8:57:20 AM,1/10/2026
638,48.4,gf,2.25,mm,OK,--,8:57:20 AM,1/10/2026
639,48.7,gf,2.255,mm,OK,--,8:57:20 AM,1/10/2026
640,48.9,gf,2.26,mm,OK,--,8:57:20 AM,1/10/2026
641,49,gf,2.26,mm,OK,--,8:57:20 AM,1/10/2026
642,49.1,gf,2.265,mm,OK,--,8:57:21 AM,1/10/2026
643,49.3,gf,2.27,mm,OK,--,8:57:21 AM,1/10/2026
644,49.5,gf,2.275,mm,OK,--,8:57:21 AM,1/10/2026
645,49.8,gf,2.28,mm,OK,--,8:57:21 AM,1/10/2026
646,49.7,gf,2.285,mm,OK,--,8:57:21 AM,1/10/2026
647,49.8,gf,2.29,mm,OK,--,8:57:21 AM,1/10/2026
648,49.9,gf,2.295,mm,OK,--,8:57:21 AM,1/10/2026
649,50,gf,2.295,mm,OK,--,8:57:21 AM,1/10/2026
650,50.1,gf,2.3,mm,OK,--,8:57:21 AM,1/10/2026
651,50.3,gf,2.305,mm,OK,--,8:57:21 AM,1/10/2026
652,50.2,gf,2.31,mm,OK,--,8:57:22 AM,1/10/2026
653,50.3,gf,2.315,mm,OK,--,8:57:22 AM,1/10/2026
654,50.2,gf,2.32,mm,OK,--,8:57:22 AM,1/10/2026
655,50.3,gf,2.32,mm,OK,--,8:57:22 AM,1/10/2026
656,50.3,gf,2.325,mm,OK,--,8:57:22 AM,1/10/2026
657,50.3,gf,2.33,mm,OK,--,8:57:22 AM,1/10/2026
658,50.5,gf,2.33,mm,OK,--,8:57:22 AM,1/10/2026
659,50.5,gf,2.335,mm,OK,--,8:57:22 AM,1/10/2026
660,50.5,gf,2.335,mm,OK,--,8:57:22 AM,1/10/2026
661,50.5,gf,2.34,mm,OK,--,8:57:22 AM,1/10/2026
662,50.6,gf,2.345,mm,OK,--,8:57:23 AM,1/10/2026
663,50.6,gf,2.345,mm,OK,--,8:57:23 AM,1/10/2026
664,50.7,gf,2.35,mm,OK,--,8:57:23 AM,1/10/2026
665,50.8,gf,2.35,mm,OK,--,8:57:23 AM,1/10/2026
666,50.9,gf,2.355,mm,OK,--,8:57:23 AM,1/10/2026
667,50.8,gf,2.355,mm,OK,--,8:57:23 AM,1/10/2026
668,50.8,gf,2.36,mm,OK,--,8:57:23 AM,1/10/2026
669,50.9,gf,2.36,mm,OK,--,8:57:23 AM,1/10/2026
670,50.9,gf,2.36,mm,OK,--,8:57:23 AM,1/10/2026
671,50.9,gf,2.365,mm,OK,--,8:57:23 AM,1/10/2026
672,50.9,gf,2.365,mm,OK,--,8:57:24 AM,1/10/2026
673,50.9,gf,2.365,mm,OK,--,8:57:24 AM,1/10/2026
674,50.9,gf,2.365,mm,OK,--,8:57:24 AM,1/10/2026
675,50.9,gf,2.37,mm,OK,--,8:57:24 AM,1/10/2026
676,51,gf,2.37,mm,OK,--,8:57:24 AM,1/10/2026
677,51,gf,2.37,mm,OK,--,8:57:24 AM,1/10/2026
678,51.1,gf,2.375,mm,OK,--,8:57:24 AM,1/10/2026
679,51,gf,2.375,mm,OK,--,8:57:24 AM,1/10/2026
680,51.1,gf,2.375,mm,OK,--,8:57:24 AM,1/10/2026
681,51.1,gf,2.38,mm,OK,--,8:57:24 AM,1/10/2026
682,51.1,gf,2.385,mm,OK,--,8:57:25 AM,1/10/2026
683,51.2,gf,2.385,mm,OK,--,8:57:25 AM,1/10/2026
684,51.3,gf,2.39,mm,OK,--,8:57:25 AM,1/10/2026
685,51.2,gf,2.39,mm,OK,--,8:57:25 AM,1/10/2026
686,51.2,gf,2.395,mm,OK,--,8:57:25 AM,1/10/2026
687,51.3,gf,2.4,mm,OK,--,8:57:25 AM,1/10/2026
688,51.3,gf,2.405,mm,OK,--,8:57:25 AM,1/10/2026
689,51.3,gf,2.405,mm,OK,--,8:57:25 AM,1/10/2026
690,51.4,gf,2.41,mm,OK,--,8:57:25 AM,1/10/2026
691,51.4,gf,2.415,mm,OK,--,8:57:25 AM,1/10/2026
692,51.4,gf,2.42,mm,OK,--,8:57:26 AM,1/10/2026
693,51.4,gf,2.425,mm,OK,--,8:57:26 AM,1/10/2026
694,51.4,gf,2.43,mm,OK,--,8:57:26 AM,1/10/2026
695,51.4,gf,2.43,mm,OK,--,8:57:26 AM,1/10/2026
696,51.5,gf,2.43,mm,OK,--,8:57:26 AM,1/10/2026
697,51.5,gf,2.435,mm,OK,--,8:57:26 AM,1/10/2026
698,51.5,gf,2.435,mm,OK,--,8:57:26 AM,1/10/2026
699,51.6,gf,2.44,mm,OK,--,8:57:26 AM,1/10/2026
700,51.6,gf,2.44,mm,OK,--,8:57:26 AM,1/10/2026
701,51.6,gf,2.445,mm,OK,--,8:57:26 AM,1/10/2026
702,51.6,gf,2.445,mm,OK,--,8:57:27 AM,1/10/2026
703,51.7,gf,2.45,mm,OK,--,8:57:27 AM,1/10/2026
704,51.7,gf,2.45,mm,OK,--,8:57:27 AM,1/10/2026
705,51.6,gf,2.455,mm,OK,--,8:57:27 AM,1/10/2026
706,51.7,gf,2.455,mm,OK,--,8:57:27 AM,1/10/2026
707,51.6,gf,2.455,mm,OK,--,8:57:27 AM,1/10/2026
708,51.6,gf,2.455,mm,OK,--,8:57:27 AM,1/10/2026
709,51.7,gf,2.46,mm,OK,--,8:57:27 AM,1/10/2026
710,51.7,gf,2.46,mm,OK,--,8:57:27 AM,1/10/2026
711,51.8,gf,2.465,mm,OK,--,8:57:27 AM,1/10/2026
712,51.8,gf,2.47,mm,OK,--,8:57:28 AM,1/10/2026
713,51.8,gf,2.475,mm,OK,--,8:57:28 AM,1/10/2026
714,51.8,gf,2.48,mm,OK,--,8:57:28 AM,1/10/2026
715,51.8,gf,2.485,mm,OK,--,8:57:28 AM,1/10/2026
716,51.8,gf,2.49,mm,OK,--,8:57:28 AM,1/10/2026
717,51.9,gf,2.495,mm,OK,--,8:57:28 AM,1/10/2026
718,51.9,gf,2.505,mm,OK,--,8:57:28 AM,1/10/2026
719,52,gf,2.515,mm,OK,--,8:57:28 AM,1/10/2026
720,52.1,gf,2.525,mm,OK,--,8:57:28 AM,1/10/2026
721,52.2,gf,2.535,mm,OK,--,8:57:28 AM,1/10/2026
722,52.2,gf,2.545,mm,OK,--,8:57:29 AM,1/10/2026
723,52.5,gf,2.555,mm,OK,--,8:57:29 AM,1/10/2026
724,52.8,gf,2.565,mm,OK,--,8:57:29 AM,1/10/2026
725,53.2,gf,2.575,mm,OK,--,8:57:29 AM,1/10/2026
726,53.3,gf,2.58,mm,OK,--,8:57:29 AM,1/10/2026
727,53.4,gf,2.59,mm,OK,--,8:57:29 AM,1/10/2026
728,53.3,gf,2.595,mm,OK,--,8:57:29 AM,1/10/2026
729,53.4,gf,2.6,mm,OK,--,8:57:29 AM,1/10/2026
730,53.4,gf,2.61,mm,OK,--,8:57:29 AM,1/10/2026
731,53.4,gf,2.615,mm,OK,--,8:57:29 AM,1/10/2026
732,53.5,gf,2.62,mm,OK,--,8:57:30 AM,1/10/2026
733,53.5,gf,2.625,mm,OK,--,8:57:30 AM,1/10/2026
734,53.5,gf,2.635,mm,OK,--,8:57:30 AM,1/10/2026
735,53.7,gf,2.64,mm,OK,--,8:57:30 AM,1/10/2026
736,53.8,gf,2.645,mm,OK,--,8:57:30 AM,1/10/2026
737,53.7,gf,2.65,mm,OK,--,8:57:30 AM,1/10/2026
738,53.7,gf,2.655,mm,OK,--,8:57:30 AM,1/10/2026
739,53.8,gf,2.66,mm,OK,--,8:57:30 AM,1/10/2026
740,53.9,gf,2.665,mm,OK,--,8:57:30 AM,1/10/2026
741,54,gf,2.67,mm,OK,--,8:57:30 AM,1/10/2026
